PARAM	PAIRS	METHOD	TP	FP	FN	TN
CC06	30R0_60R0_100R0	cluster	1808	1519	979	102386
CC06	30R0_60R0_100R0	subcluster	2272	1495	515	102410
CC06	30R0_60R0_100R0	mash90	2237	1460	550	102445
CC06	30R0_60R0_100R0	mash95	2587	1344	200	102561
CC06	30R0_60R0_100R0	genome	2721	760	66	103145
CC06	30R0_60R0_120R0	cluster	1869	1531	918	102374
CC06	30R0_60R0_120R0	subcluster	2224	1503	563	102402
CC06	30R0_60R0_120R0	mash90	2218	1467	569	102438
CC06	30R0_60R0_120R0	mash95	2505	1433	282	102472
CC06	30R0_60R0_120R0	genome	2725	850	62	103055
CC06	30R0_60R0_80R0	cluster	1717	1543	1070	102362
CC06	30R0_60R0_80R0	subcluster	2327	1507	460	102398
CC06	30R0_60R0_80R0	mash90	2297	1571	490	102334
CC06	30R0_60R0_80R0	mash95	2572	1482	215	102423
CC06	30R0_60R0_80R0	genome	2714	797	73	103108
CC06	30R0_60R0_90R0	cluster	1638	1790	1149	102115
CC06	30R0_60R0_90R0	subcluster	2177	1648	610	102257
CC06	30R0_60R0_90R0	mash90	2164	1636	623	102269
CC06	30R0_60R0_90R0	mash95	2473	1515	314	102390
CC06	30R0_60R0_90R0	genome	2716	993	71	102912
CC06	30R0_60R0	cluster	1662	1997	1125	101908
CC06	30R0_60R0	subcluster	2356	1727	431	102178
CC06	30R0_60R0	mash90	2366	1725	421	102180
CC06	30R0_60R0	mash95	2585	1719	202	102186
CC06	30R0_60R0	genome	2713	1097	74	102808
CC06	30R0_70R0_100R0	cluster	1852	1335	935	102570
CC06	30R0_70R0_100R0	subcluster	2320	1429	467	102476
CC06	30R0_70R0_100R0	mash90	2263	1463	524	102442
CC06	30R0_70R0_100R0	mash95	2580	1335	207	102570
CC06	30R0_70R0_100R0	genome	2716	748	71	103157
CC06	30R0_70R0_120R0	cluster	1778	1283	1009	102622
CC06	30R0_70R0_120R0	subcluster	2241	1309	546	102596
CC06	30R0_70R0_120R0	mash90	2202	1344	585	102561
CC06	30R0_70R0_120R0	mash95	2617	1272	170	102633
CC06	30R0_70R0_120R0	genome	2724	726	63	103179
CC06	30R0_70R0_90R0	cluster	1633	1708	1154	102197
CC06	30R0_70R0_90R0	subcluster	2208	1697	579	102208
CC06	30R0_70R0_90R0	mash90	2184	1710	603	102195
CC06	30R0_70R0_90R0	mash95	2428	1610	359	102295
CC06	30R0_70R0_90R0	genome	2714	787	73	103118
CC06	30R0_70R0	cluster	1501	1571	1286	102334
CC06	30R0_70R0	subcluster	2186	1515	601	102390
CC06	30R0_70R0	mash90	2203	1542	584	102363
CC06	30R0_70R0	mash95	2605	1479	182	102426
CC06	30R0_70R0	genome	2719	839	68	103066
CC06	30R0_80R0_100R0	cluster	1897	1557	890	102348
CC06	30R0_80R0_100R0	subcluster	2262	1504	525	102401
CC06	30R0_80R0_100R0	mash90	2219	1522	568	102383
CC06	30R0_80R0_100R0	mash95	2561	1452	226	102453
CC06	30R0_80R0_100R0	genome	2720	809	67	103096
CC06	30R0_80R0_120R0	cluster	1893	1375	894	102530
CC06	30R0_80R0_120R0	subcluster	2275	1389	512	102516
CC06	30R0_80R0_120R0	mash90	2257	1333	530	102572
CC06	30R0_80R0_120R0	mash95	2525	1279	262	102626
CC06	30R0_80R0_120R0	genome	2725	737	62	103168
CC06	30R0_80R0	cluster	1860	1798	927	102107
CC06	30R0_80R0	subcluster	2343	1572	444	102333
CC06	30R0_80R0	mash90	2336	1644	451	102261
CC06	30R0_80R0	mash95	2570	1541	217	102364
CC06	30R0_80R0	genome	2714	880	73	103025
CC06	30R0_90R0_120R0	cluster	1857	1344	930	102561
CC06	30R0_90R0_120R0	subcluster	2174	1358	613	102547
CC06	30R0_90R0_120R0	mash90	2123	1318	664	102587
CC06	30R0_90R0_120R0	mash95	2503	1317	284	102588
CC06	30R0_90R0_120R0	genome	2725	756	62	103149
CC06	30R0_90R0	cluster	1616	1914	1171	101991
CC06	30R0_90R0	subcluster	2236	1709	551	102196
CC06	30R0_90R0	mash90	2218	1684	569	102221
CC06	30R0_90R0	mash95	2466	1752	321	102153
CC06	30R0_90R0	genome	2720	871	67	103034
CC06	30R12_100R12_120R12	cluster	1767	1458	1020	102447
CC06	30R12_100R12_120R12	subcluster	2149	1538	638	102367
CC06	30R12_100R12_120R12	mash90	2162	1539	625	102366
CC06	30R12_100R12_120R12	mash95	2359	1491	428	102414
CC06	30R12_100R12_120R12	genome	2713	887	74	103018
CC06	30R12_100R12	cluster	1848	1557	939	102348
CC06	30R12_100R12	subcluster	2168	1601	619	102304
CC06	30R12_100R12	mash90	2179	1601	608	102304
CC06	30R12_100R12	mash95	2319	1549	468	102356
CC06	30R12_100R12	genome	2716	890	71	103015
CC06	30R12_120R12	cluster	1643	1630	1144	102275
CC06	30R12_120R12	subcluster	2180	1619	607	102286
CC06	30R12_120R12	mash90	2187	1611	600	102294
CC06	30R12_120R12	mash95	2349	1578	438	102327
CC06	30R12_120R12	genome	2707	903	80	103002
CC06	30R12_40R12	cluster	1781	2221	1006	101684
CC06	30R12_40R12	subcluster	2247	2187	540	101718
CC06	30R12_40R12	mash90	2260	2272	527	101633
CC06	30R12_40R12	mash95	2420	2157	367	101748
CC06	30R12_40R12	genome	2711	1135	76	102770
CC06	30R12_50R12_100R12	cluster	1844	1671	943	102234
CC06	30R12_50R12_100R12	subcluster	2193	1598	594	102307
CC06	30R12_50R12_100R12	mash90	2162	1631	625	102274
CC06	30R12_50R12_100R12	mash95	2344	1554	443	102351
CC06	30R12_50R12_100R12	genome	2723	1047	64	102858
CC06	30R12_50R12_120R12	cluster	1637	1510	1150	102395
CC06	30R12_50R12_120R12	subcluster	2077	1611	710	102294
CC06	30R12_50R12_120R12	mash90	2128	1606	659	102299
CC06	30R12_50R12_120R12	mash95	2363	1512	424	102393
CC06	30R12_50R12_120R12	genome	2709	843	78	103062
CC06	30R12_50R12_70R12	cluster	1619	1892	1168	102013
CC06	30R12_50R12_70R12	subcluster	2069	2041	718	101864
CC06	30R12_50R12_70R12	mash90	2069	2035	718	101870
CC06	30R12_50R12_70R12	mash95	2365	1856	422	102049
CC06	30R12_50R12_70R12	genome	2710	960	77	102945
CC06	30R12_50R12_80R12	cluster	1765	1825	1022	102080
CC06	30R12_50R12_80R12	subcluster	2156	1891	631	102014
CC06	30R12_50R12_80R12	mash90	2115	1891	672	102014
CC06	30R12_50R12_80R12	mash95	2376	1898	411	102007
CC06	30R12_50R12_80R12	genome	2714	1039	73	102866
CC06	30R12_50R12_90R12	cluster	1758	1717	1029	102188
CC06	30R12_50R12_90R12	subcluster	2055	1684	732	102221
CC06	30R12_50R12_90R12	mash90	2020	1690	767	102215
CC06	30R12_50R12_90R12	mash95	2321	1643	466	102262
CC06	30R12_50R12_90R12	genome	2714	1033	73	102872
CC06	30R12_50R12	cluster	1697	1992	1090	101913
CC06	30R12_50R12	subcluster	2070	2004	717	101901
CC06	30R12_50R12	mash90	2114	2024	673	101881
CC06	30R12_50R12	mash95	2356	1860	431	102045
CC06	30R12_50R12	genome	2714	915	73	102990
CC06	30R12_60R12_100R12	cluster	1782	1739	1005	102166
CC06	30R12_60R12_100R12	subcluster	2155	1746	632	102159
CC06	30R12_60R12_100R12	mash90	2147	1724	640	102181
CC06	30R12_60R12_100R12	mash95	2317	1607	470	102298
CC06	30R12_60R12_100R12	genome	2718	1049	69	102856
CC06	30R12_60R12_120R12	cluster	1720	1614	1067	102291
CC06	30R12_60R12_120R12	subcluster	2168	1793	619	102112
CC06	30R12_60R12_120R12	mash90	2240	1807	547	102098
CC06	30R12_60R12_120R12	mash95	2423	1753	364	102152
CC06	30R12_60R12_120R12	genome	2705	852	82	103053
CC06	30R12_60R12_80R12	cluster	1698	1904	1089	102001
CC06	30R12_60R12_80R12	subcluster	2164	1851	623	102054
CC06	30R12_60R12_80R12	mash90	2154	1855	633	102050
CC06	30R12_60R12_80R12	mash95	2377	1904	410	102001
CC06	30R12_60R12_80R12	genome	2714	1030	73	102875
CC06	30R12_60R12_90R12	cluster	1910	1553	877	102352
CC06	30R12_60R12_90R12	subcluster	2154	1531	633	102374
CC06	30R12_60R12_90R12	mash90	2165	1552	622	102353
CC06	30R12_60R12_90R12	mash95	2372	1419	415	102486
CC06	30R12_60R12_90R12	genome	2711	816	76	103089
CC06	30R12_60R12	cluster	1859	1801	928	102104
CC06	30R12_60R12	subcluster	2217	1894	570	102011
CC06	30R12_60R12	mash90	2266	1895	521	102010
CC06	30R12_60R12	mash95	2436	1589	351	102316
CC06	30R12_60R12	genome	2715	869	72	103036
CC06	30R12_70R12_100R12	cluster	1892	1389	895	102516
CC06	30R12_70R12_100R12	subcluster	2181	1408	606	102497
CC06	30R12_70R12_100R12	mash90	2144	1414	643	102491
CC06	30R12_70R12_100R12	mash95	2313	1375	474	102530
CC06	30R12_70R12_100R12	genome	2715	827	72	103078
CC06	30R12_70R12_120R12	cluster	1811	1636	976	102269
CC06	30R12_70R12_120R12	subcluster	2230	1631	557	102274
CC06	30R12_70R12_120R12	mash90	2261	1652	526	102253
CC06	30R12_70R12_120R12	mash95	2425	1538	362	102367
CC06	30R12_70R12_120R12	genome	2705	837	82	103068
CC06	30R12_70R12_90R12	cluster	1876	1589	911	102316
CC06	30R12_70R12_90R12	subcluster	2105	1543	682	102362
CC06	30R12_70R12_90R12	mash90	2082	1552	705	102353
CC06	30R12_70R12_90R12	mash95	2294	1497	493	102408
CC06	30R12_70R12_90R12	genome	2712	812	75	103093
CC06	30R12_70R12	cluster	1690	1964	1097	101941
CC06	30R12_70R12	subcluster	2160	1986	627	101919
CC06	30R12_70R12	mash90	2215	2028	572	101877
CC06	30R12_70R12	mash95	2438	1944	349	101961
CC06	30R12_70R12	genome	2713	1046	74	102859
CC06	30R12_80R12_100R12	cluster	1858	1659	929	102246
CC06	30R12_80R12_100R12	subcluster	2137	1667	650	102238
CC06	30R12_80R12_100R12	mash90	2098	1673	689	102232
CC06	30R12_80R12_100R12	mash95	2324	1609	463	102296
CC06	30R12_80R12_100R12	genome	2719	1018	68	102887
CC06	30R12_80R12_120R12	cluster	1695	1679	1092	102226
CC06	30R12_80R12_120R12	subcluster	2120	1651	667	102254
CC06	30R12_80R12_120R12	mash90	2078	1638	709	102267
CC06	30R12_80R12_120R12	mash95	2313	1499	474	102406
CC06	30R12_80R12_120R12	genome	2705	879	82	103026
CC06	30R12_80R12	cluster	1841	2023	946	101882
CC06	30R12_80R12	subcluster	2279	2062	508	101843
CC06	30R12_80R12	mash90	2227	2059	560	101846
CC06	30R12_80R12	mash95	2432	1987	355	101918
CC06	30R12_80R12	genome	2713	1024	74	102881
CC06	30R12_90R12_120R12	cluster	1855	1589	932	102316
CC06	30R12_90R12_120R12	subcluster	2183	1534	604	102371
CC06	30R12_90R12_120R12	mash90	2180	1541	607	102364
CC06	30R12_90R12_120R12	mash95	2371	1484	416	102421
CC06	30R12_90R12_120R12	genome	2709	872	78	103033
CC06	30R12_90R12	cluster	1891	1622	896	102283
CC06	30R12_90R12	subcluster	2095	1586	692	102319
CC06	30R12_90R12	mash90	2092	1632	695	102273
CC06	30R12_90R12	mash95	2298	1587	489	102318
CC06	30R12_90R12	genome	2717	909	70	102996
CC06	30R15_100R15_120R15	cluster	1697	1670	1090	102235
CC06	30R15_100R15_120R15	subcluster	2192	1558	595	102347
CC06	30R15_100R15_120R15	mash90	2163	1546	624	102359
CC06	30R15_100R15_120R15	mash95	2328	1553	459	102352
CC06	30R15_100R15_120R15	genome	2707	885	80	103020
CC06	30R15_100R15	cluster	1848	1858	939	102047
CC06	30R15_100R15	subcluster	2227	1704	560	102201
CC06	30R15_100R15	mash90	2168	1686	619	102219
CC06	30R15_100R15	mash95	2374	1641	413	102264
CC06	30R15_100R15	genome	2717	943	70	102962
CC06	30R15_120R15	cluster	1614	1670	1173	102235
CC06	30R15_120R15	subcluster	2166	1657	621	102248
CC06	30R15_120R15	mash90	2164	1646	623	102259
CC06	30R15_120R15	mash95	2377	1656	410	102249
CC06	30R15_120R15	genome	2718	925	69	102980
CC06	30R15_40R15	cluster	1627	2141	1160	101764
CC06	30R15_40R15	subcluster	2094	2002	693	101903
CC06	30R15_40R15	mash90	2186	1948	601	101957
CC06	30R15_40R15	mash95	2357	1815	430	102090
CC06	30R15_40R15	genome	2707	1091	80	102814
CC06	30R15_50R15_100R15	cluster	1808	1527	979	102378
CC06	30R15_50R15_100R15	subcluster	2150	1599	637	102306
CC06	30R15_50R15_100R15	mash90	2105	1565	682	102340
CC06	30R15_50R15_100R15	mash95	2345	1518	442	102387
CC06	30R15_50R15_100R15	genome	2715	853	72	103052
CC06	30R15_50R15_120R15	cluster	1644	1523	1143	102382
CC06	30R15_50R15_120R15	subcluster	2189	1499	598	102406
CC06	30R15_50R15_120R15	mash90	2190	1514	597	102391
CC06	30R15_50R15_120R15	mash95	2371	1326	416	102579
CC06	30R15_50R15_120R15	genome	2714	852	73	103053
CC06	30R15_50R15_70R15	cluster	1681	1693	1106	102212
CC06	30R15_50R15_70R15	subcluster	2070	1701	717	102204
CC06	30R15_50R15_70R15	mash90	2086	1662	701	102243
CC06	30R15_50R15_70R15	mash95	2304	1578	483	102327
CC06	30R15_50R15_70R15	genome	2707	873	80	103032
CC06	30R15_50R15_80R15	cluster	1766	1665	1021	102240
CC06	30R15_50R15_80R15	subcluster	2123	1731	664	102174
CC06	30R15_50R15_80R15	mash90	2190	1714	597	102191
CC06	30R15_50R15_80R15	mash95	2332	1606	455	102299
CC06	30R15_50R15_80R15	genome	2711	898	76	103007
CC06	30R15_50R15_90R15	cluster	1775	1681	1012	102224
CC06	30R15_50R15_90R15	subcluster	2148	1549	639	102356
CC06	30R15_50R15_90R15	mash90	2131	1526	656	102379
CC06	30R15_50R15_90R15	mash95	2320	1526	467	102379
CC06	30R15_50R15_90R15	genome	2707	907	80	102998
CC06	30R15_50R15	cluster	1793	1912	994	101993
CC06	30R15_50R15	subcluster	2119	1911	668	101994
CC06	30R15_50R15	mash90	2134	1908	653	101997
CC06	30R15_50R15	mash95	2316	1962	471	101943
CC06	30R15_50R15	genome	2712	1010	75	102895
CC06	30R15_60R15_100R15	cluster	1932	1485	855	102420
CC06	30R15_60R15_100R15	subcluster	2144	1535	643	102370
CC06	30R15_60R15_100R15	mash90	2105	1524	682	102381
CC06	30R15_60R15_100R15	mash95	2313	1405	474	102500
CC06	30R15_60R15_100R15	genome	2713	910	74	102995
CC06	30R15_60R15_120R15	cluster	1675	1530	1112	102375
CC06	30R15_60R15_120R15	subcluster	2146	1481	641	102424
CC06	30R15_60R15_120R15	mash90	2152	1503	635	102402
CC06	30R15_60R15_120R15	mash95	2321	1325	466	102580
CC06	30R15_60R15_120R15	genome	2708	895	79	103010
CC06	30R15_60R15_80R15	cluster	1749	1819	1038	102086
CC06	30R15_60R15_80R15	subcluster	2134	1792	653	102113
CC06	30R15_60R15_80R15	mash90	2162	1794	625	102111
CC06	30R15_60R15_80R15	mash95	2356	1611	431	102294
CC06	30R15_60R15_80R15	genome	2713	944	74	102961
CC06	30R15_60R15_90R15	cluster	1704	1614	1083	102291
CC06	30R15_60R15_90R15	subcluster	2234	1536	553	102369
CC06	30R15_60R15_90R15	mash90	2179	1568	608	102337
CC06	30R15_60R15_90R15	mash95	2357	1474	430	102431
CC06	30R15_60R15_90R15	genome	2710	914	77	102991
CC06	30R15_60R15	cluster	1719	1832	1068	102073
CC06	30R15_60R15	subcluster	2093	1778	694	102127
CC06	30R15_60R15	mash90	2089	1777	698	102128
CC06	30R15_60R15	mash95	2298	1658	489	102247
CC06	30R15_60R15	genome	2710	944	77	102961
CC06	30R15_70R15_100R15	cluster	1827	1626	960	102279
CC06	30R15_70R15_100R15	subcluster	2181	1521	606	102384
CC06	30R15_70R15_100R15	mash90	2141	1491	646	102414
CC06	30R15_70R15_100R15	mash95	2347	1454	440	102451
CC06	30R15_70R15_100R15	genome	2710	896	77	103009
CC06	30R15_70R15_120R15	cluster	1752	1401	1035	102504
CC06	30R15_70R15_120R15	subcluster	2223	1397	564	102508
CC06	30R15_70R15_120R15	mash90	2223	1407	564	102498
CC06	30R15_70R15_120R15	mash95	2389	1366	398	102539
CC06	30R15_70R15_120R15	genome	2709	859	78	103046
CC06	30R15_70R15_90R15	cluster	1606	1495	1181	102410
CC06	30R15_70R15_90R15	subcluster	2049	1682	738	102223
CC06	30R15_70R15_90R15	mash90	2040	1625	747	102280
CC06	30R15_70R15_90R15	mash95	2272	1522	515	102383
CC06	30R15_70R15_90R15	genome	2708	865	79	103040
CC06	30R15_70R15	cluster	1627	1798	1160	102107
CC06	30R15_70R15	subcluster	2056	1892	731	102013
CC06	30R15_70R15	mash90	2078	1909	709	101996
CC06	30R15_70R15	mash95	2292	1699	495	102206
CC06	30R15_70R15	genome	2714	938	73	102967
CC06	30R15_80R15_100R15	cluster	1913	1694	874	102211
CC06	30R15_80R15_100R15	subcluster	2280	1561	507	102344
CC06	30R15_80R15_100R15	mash90	2255	1514	532	102391
CC06	30R15_80R15_100R15	mash95	2416	1535	371	102370
CC06	30R15_80R15_100R15	genome	2711	891	76	103014
CC06	30R15_80R15_120R15	cluster	1758	1599	1029	102306
CC06	30R15_80R15_120R15	subcluster	2167	1542	620	102363
CC06	30R15_80R15_120R15	mash90	2151	1535	636	102370
CC06	30R15_80R15_120R15	mash95	2338	1436	449	102469
CC06	30R15_80R15_120R15	genome	2709	785	78	103120
CC06	30R15_80R15	cluster	1857	1886	930	102019
CC06	30R15_80R15	subcluster	2170	1935	617	101970
CC06	30R15_80R15	mash90	2228	1896	559	102009
CC06	30R15_80R15	mash95	2349	1820	438	102085
CC06	30R15_80R15	genome	2717	949	70	102956
CC06	30R15_90R15_120R15	cluster	1716	1531	1071	102374
CC06	30R15_90R15_120R15	subcluster	2168	1610	619	102295
CC06	30R15_90R15_120R15	mash90	2195	1585	592	102320
CC06	30R15_90R15_120R15	mash95	2363	1553	424	102352
CC06	30R15_90R15_120R15	genome	2712	853	75	103052
CC06	30R15_90R15	cluster	1712	1774	1075	102131
CC06	30R15_90R15	subcluster	2241	1773	546	102132
CC06	30R15_90R15	mash90	2189	1780	598	102125
CC06	30R15_90R15	mash95	2344	1754	443	102151
CC06	30R15_90R15	genome	2714	960	73	102945
CC06	30R3_100R3_120R3	cluster	1780	1209	1007	102696
CC06	30R3_100R3_120R3	subcluster	2167	1262	620	102643
CC06	30R3_100R3_120R3	mash90	2162	1206	625	102699
CC06	30R3_100R3_120R3	mash95	2518	1152	269	102753
CC06	30R3_100R3_120R3	genome	2719	735	68	103170
CC06	30R3_100R3	cluster	1897	1461	890	102444
CC06	30R3_100R3	subcluster	2255	1389	532	102516
CC06	30R3_100R3	mash90	2242	1436	545	102469
CC06	30R3_100R3	mash95	2427	1438	360	102467
CC06	30R3_100R3	genome	2718	773	69	103132
CC06	30R3_120R3	cluster	1627	1338	1160	102567
CC06	30R3_120R3	subcluster	2304	1366	483	102539
CC06	30R3_120R3	mash90	2282	1323	505	102582
CC06	30R3_120R3	mash95	2543	1336	244	102569
CC06	30R3_120R3	genome	2724	761	63	103144
CC06	30R3_40R3	cluster	1679	1523	1108	102382
CC06	30R3_40R3	subcluster	2334	1532	453	102373
CC06	30R3_40R3	mash90	2406	1535	381	102370
CC06	30R3_40R3	mash95	2586	1492	201	102413
CC06	30R3_40R3	genome	2723	837	64	103068
CC06	30R3_50R3_100R3	cluster	1946	1154	841	102751
CC06	30R3_50R3_100R3	subcluster	2084	1133	703	102772
CC06	30R3_50R3_100R3	mash90	2076	1105	711	102800
CC06	30R3_50R3_100R3	mash95	2493	1101	294	102804
CC06	30R3_50R3_100R3	genome	2716	679	71	103226
CC06	30R3_50R3_120R3	cluster	1864	1206	923	102699
CC06	30R3_50R3_120R3	subcluster	2188	1219	599	102686
CC06	30R3_50R3_120R3	mash90	2218	1239	569	102666
CC06	30R3_50R3_120R3	mash95	2507	1238	280	102667
CC06	30R3_50R3_120R3	genome	2724	702	63	103203
CC06	30R3_50R3_70R3	cluster	1904	1467	883	102438
CC06	30R3_50R3_70R3	subcluster	2268	1469	519	102436
CC06	30R3_50R3_70R3	mash90	2309	1478	478	102427
CC06	30R3_50R3_70R3	mash95	2544	1388	243	102517
CC06	30R3_50R3_70R3	genome	2714	746	73	103159
CC06	30R3_50R3_80R3	cluster	1630	1142	1157	102763
CC06	30R3_50R3_80R3	subcluster	2317	1186	470	102719
CC06	30R3_50R3_80R3	mash90	2334	1162	453	102743
CC06	30R3_50R3_80R3	mash95	2551	1350	236	102555
CC06	30R3_50R3_80R3	genome	2716	720	71	103185
CC06	30R3_50R3_90R3	cluster	1784	1403	1003	102502
CC06	30R3_50R3_90R3	subcluster	2290	1339	497	102566
CC06	30R3_50R3_90R3	mash90	2289	1340	498	102565
CC06	30R3_50R3_90R3	mash95	2523	1182	264	102723
CC06	30R3_50R3_90R3	genome	2718	763	69	103142
CC06	30R3_50R3	cluster	1854	1465	933	102440
CC06	30R3_50R3	subcluster	2339	1479	448	102426
CC06	30R3_50R3	mash90	2392	1461	395	102444
CC06	30R3_50R3	mash95	2527	1462	260	102443
CC06	30R3_50R3	genome	2716	808	71	103097
CC06	30R3_60R3_100R3	cluster	1698	1562	1089	102343
CC06	30R3_60R3_100R3	subcluster	2205	1497	582	102408
CC06	30R3_60R3_100R3	mash90	2103	1489	684	102416
CC06	30R3_60R3_100R3	mash95	2518	1465	269	102440
CC06	30R3_60R3_100R3	genome	2715	905	72	103000
CC06	30R3_60R3_120R3	cluster	1672	1438	1115	102467
CC06	30R3_60R3_120R3	subcluster	2153	1415	634	102490
CC06	30R3_60R3_120R3	mash90	2103	1415	684	102490
CC06	30R3_60R3_120R3	mash95	2480	1397	307	102508
CC06	30R3_60R3_120R3	genome	2722	830	65	103075
CC06	30R3_60R3_80R3	cluster	1631	1432	1156	102473
CC06	30R3_60R3_80R3	subcluster	2299	1510	488	102395
CC06	30R3_60R3_80R3	mash90	2191	1479	596	102426
CC06	30R3_60R3_80R3	mash95	2519	1452	268	102453
CC06	30R3_60R3_80R3	genome	2715	756	72	103149
CC06	30R3_60R3_90R3	cluster	1683	1678	1104	102227
CC06	30R3_60R3_90R3	subcluster	2357	1605	430	102300
CC06	30R3_60R3_90R3	mash90	2266	1614	521	102291
CC06	30R3_60R3_90R3	mash95	2600	1619	187	102286
CC06	30R3_60R3_90R3	genome	2714	964	73	102941
CC06	30R3_60R3	cluster	1588	1525	1199	102380
CC06	30R3_60R3	subcluster	2234	1546	553	102359
CC06	30R3_60R3	mash90	2210	1533	577	102372
CC06	30R3_60R3	mash95	2582	1468	205	102437
CC06	30R3_60R3	genome	2714	930	73	102975
CC06	30R3_70R3_100R3	cluster	1882	1362	905	102543
CC06	30R3_70R3_100R3	subcluster	2167	1295	620	102610
CC06	30R3_70R3_100R3	mash90	2172	1258	615	102647
CC06	30R3_70R3_100R3	mash95	2399	1270	388	102635
CC06	30R3_70R3_100R3	genome	2718	710	69	103195
CC06	30R3_70R3_120R3	cluster	1634	1268	1153	102637
CC06	30R3_70R3_120R3	subcluster	2277	1217	510	102688
CC06	30R3_70R3_120R3	mash90	2208	1226	579	102679
