GENOME	LOC	LABEL	N	DIR	RBS1	RBS2	MOTIF	A0	A1	LF50R3	HK50R3	LF100R3	HK100R3	PRED	METHOD
AE001862	7553	0	189	-1	12	2.6	6	0.02208	0.034	-0.57179	-0.39269	-0.55811	-0.3713	0	Xu
AE001862	9793	0	24	-1	0	0.0	4	0.034	0.00207	-0.46667	-0.33491	-0.59275	-0.38423	0	Xu
AE001862	12064	0	27	1	21	1.3	9	0.00778	0.01702	-0.22	-0.16033	-0.45075	-0.34155	0	Xu
AE001862	11995	0	96	1	0	0.0	9	0.0064	0.05843	-0.43939	-0.25788	-0.405	-0.25647	0	Xu
AE001862	15106	0	15	-1	13	1.4	5	0.06515	0.00462	-0.3	-0.20047	-0.53636	-0.34736	0	Xu
AE001862	14953	0	168	-1	0	0.0	4	0.02296	0.00353	-0.35294	-0.25612	-0.425	-0.25835	0	Xu
AE001862	20950	0	213	-1	0	0.0	2	0.03342	0.01702	-0.5641	-0.38721	-0.62763	-0.36868	0	Xu
AE001862	20947	0	216	-1	0	0.0	7	0.05843	0.0526	-0.47632	-0.35345	-0.64605	-0.39737	0	Xu
AE001862	25445	0	273	1	14	1.4	9	0.00374	0.01702	-0.60909	-0.38848	-0.48333	-0.36242	0	Xu
AE001862	35883	0	21	-1	0	0.0	7	0.02506	0.00301	-0.15714	-0.11607	-0.34717	-0.27094	0	Xu
AE001862	39015	0	6	-1	0	0.0	6	0.01732	0.0035	-0.32308	-0.15912	-0.62	-0.376	0	Xu
AE001862	47592	0	39	1	4	0.0	9	0.01732	0.03342	-0.16667	-0.12417	-0.38909	-0.28829	0	Xu
AE001862	53967	0	27	1	0	0.0	9	0.00641	0.03195	-0.37632	-0.25416	-0.47969	-0.29141	0	Xu
AE001862	53958	0	36	1	0	0.0	9	0.00767	0.0172	-0.32895	-0.29571	-0.53636	-0.32879	0	Xu
AE001862	58144	0	30	-1	0	0.0	6	0.04476	0.0526	-0.44286	-0.28694	-0.61029	-0.38662	0	Xu
AE001862	59499	0	15	1	16	1.6	9	0.00767	0.0172	-0.5027	-0.34851	-0.5338	-0.32563	0	Xu
AE001862	72687	0	129	-1	0	1.9	6	0.04349	0.00878	-0.40909	-0.33764	-0.4803	-0.28665	0	Xu
AE001862	76766	0	180	-1	0	0.0	4	0.06515	0.00299	-0.31944	-0.24167	-0.48108	-0.30919	0	Xu
AE001862	82675	0	6	-1	21	1.3	4	0.034	0.00301	-0.32667	-0.23443	-0.5	-0.32268	0	Xu
AE001862	84214	0	21	1	11	0.0	9	0.00767	0.0172	-0.34375	-0.36169	-0.43	-0.295	0	Xu
AE001862	84551	0	84	-1	0	0.0	2	0.01732	0.00235	-0.55185	-0.26293	-0.57419	-0.34187	0	Xu
AE001862	84892	0	18	-1	0	0.0	1	0.01646	0.01702	-0.20312	-0.22291	-0.37761	-0.25	0	Xu
AE001862	84853	0	57	-1	0	0.0	6	0.06515	0.00641	-0.425	-0.34267	-0.37385	-0.27769	0	Xu
AE001862	86840	0	117	-1	0	2.2	0	0.01702	0.00227	-0.36364	-0.19758	-0.43182	-0.27735	0	Xu
AE001862	86828	0	129	-1	0	0.0	4	0.06515	0.00641	-0.34286	-0.18629	-0.38	-0.22986	0	Xu
AE001862	86825	0	132	-1	0	0.0	5	0.0526	0.02141	-0.34286	-0.18629	-0.33571	-0.20464	0	Xu
AE001862	86822	0	135	-1	0	1.2	4	0.0215	0.02274	-0.24167	-0.14056	-0.34429	-0.224	0	Xu
AE001862	87121	0	363	-1	0	0.0	7	0.034	0.00301	-0.45758	-0.32921	-0.50725	-0.3287	0	Xu
AE001862	87118	0	366	-1	0	0.0	6	0.025	0.025	-0.43333	-0.27691	-0.50725	-0.32638	0	Xu
AE001862	89657	0	9	1	0	0.0	8	0.0215	0.0526	-0.33	-0.22033	-0.51475	-0.35787	0	Xu
AE001862	89618	0	48	1	1	0.0	8	0.00471	0.0172	-0.23529	-0.19159	-0.45821	-0.31761	0	Xu
AE001862	89967	0	30	1	2	0.0	9	0.01646	0.03692	-0.82353	-0.51729	-0.62273	-0.39409	0	Xu
AE001862	96693	0	99	-1	0	0.0	4	0.06515	0.00641	-0.45278	-0.35756	-0.56232	-0.3813	0	Xu
AE001862	98671	0	42	1	0	0.0	8	0.00778	0.00798	-0.38276	-0.30641	-0.55152	-0.33076	0	Xu
AE001862	98602	0	111	1	14	0.0	9	0.00798	0.01858	-0.416	-0.2376	-0.52321	-0.33071	0	Xu
AE001862	99092	1	81	-1	0	0.0	5	0.01646	0.04272	-0.36471	-0.24029	-0.44918	-0.36213	0	Xu
AE001862	99044	1	129	-1	1	0.0	1	0.05843	0.02208	-0.54054	-0.35541	-0.51268	-0.36786	0	Xu
AE001862	105291	0	129	1	13	0.0	8	0.00301	0.02506	-0.58108	-0.36162	-0.62568	-0.38189	0	Xu
AE001862	112647	0	27	-1	0	0.0	7	0.02506	0.00301	-0.272	-0.20912	-0.49655	-0.32753	0	Xu
AE001862	113981	0	156	-1	1	0.0	5	0.03342	0.04272	-0.52333	-0.363	-0.64394	-0.40629	0	Xu
AE001862	120038	0	48	1	2	0.0	9	0.00781	0.04349	-0.47027	-0.33484	-0.43485	-0.27932	0	Xu
AE001862	120738	0	135	-1	24	5.2	6	0.05843	0.03692	-0.41111	-0.29128	-0.652	-0.3944	0	Xu
AE001862	120585	0	288	-1	0	0.0	6	0.04349	0.00781	-0.56765	-0.33912	-0.56176	-0.35935	0	Xu
AE001862	133308	0	180	-1	19	0.0	1	0.0033	0.01702	-0.55366	-0.35024	-0.604	-0.39493	0	Xu
AE001862	144170	0	9	1	6	2.7	8	0.0052	0.00904	-0.4	-0.30962	-0.51852	-0.36233	0	Xu
AE001862	148455	0	123	-1	13	0.0	3	0.02208	0.034	-0.41818	-0.36012	-0.58333	-0.41867	0	Xu
AE001862	164876	0	3	-1	0	0.0	0	0.00207	0.06515	-0.425	-0.31981	-0.53803	-0.36366	0	Xu
AE001862	164873	0	6	-1	0	0.0	7	0.0526	0.02141	-0.44839	-0.33013	-0.45429	-0.30886	0	Xu
AE001862	169603	0	159	-1	0	0.0	0	0.02045	0.00634	-0.41563	-0.26941	-0.56866	-0.35791	0	Xu
AE001862	169432	0	330	-1	14	0.0	7	0.02506	0.00301	-0.52187	-0.32094	-0.43333	-0.29429	0	Xu
AE001862	173848	0	3	-1	0	0.0	6	0.00207	0.06515	-0.18966	-0.20724	-0.54783	-0.32913	0	Xu
AE001862	175634	0	123	-1	14	0.0	7	0.01898	0.02506	-0.55	-0.33789	-0.68933	-0.39547	0	Xu
AE001862	183977	0	36	-1	16	2.4	2	0.05843	0.03692	-0.51944	-0.37583	-0.664	-0.39477	0	Xu
AE001862	183974	0	39	-1	7	0.0	7	0.05843	0.0526	-0.44865	-0.29814	-0.70779	-0.40692	0	Xu
AE001862	200384	0	183	1	0	0.0	9	0.0215	0.0526	-0.57674	-0.34581	-0.64079	-0.43529	0	Xu
AE001862	200225	0	342	1	0	0.0	8	0.0526	0.05843	-0.41351	-0.29354	-0.59878	-0.35854	0	Xu
AE001862	200192	0	375	1	13	3.0	9	0.00374	0.01702	-0.45	-0.26017	-0.5039	-0.32026	0	Xu
AE001862	200177	0	390	1	0	0.0	9	0.00301	0.034	-0.41892	-0.31403	-0.492	-0.3236	0	Xu
AE001862	200174	0	393	1	0	0.0	9	0.02141	0.0526	-0.37568	-0.2583	-0.48514	-0.31884	0	Xu
AE001862	203499	0	18	-1	13	0.0	6	0.03342	0.01702	-0.63171	-0.40537	-0.64675	-0.39831	0	Xu
AE001862	203496	0	21	-1	0	0.0	3	0.03692	0.02274	-0.6375	-0.40988	-0.64872	-0.41641	0	Xu
AE001862	205752	0	15	-1	0	0.0	6	0.034	0.00674	-0.18857	-0.152	-0.31364	-0.235	0	Xu
AE001862	205749	0	18	-1	0	0.0	3	0.06515	0.00641	-0.11471	-0.08765	-0.30303	-0.23	0	Xu
AE001862	205728	0	39	-1	0	0.0	6	0.03342	0.04272	-0.22069	-0.16862	-0.31818	-0.2602	0	Xu
AE001862	205587	0	180	-1	1	0.0	7	0.05843	0.0064	-0.53846	-0.33538	-0.6589	-0.40367	0	Xu
AE001862	207539	0	192	-1	0	0.0	7	0.0526	0.0215	-0.34412	-0.24794	-0.40441	-0.27232	0	Xu
AE001862	209345	0	630	-1	19	4.0	6	0.0526	0.02141	-0.43235	-0.29462	-0.57391	-0.3363	0	Xu
AE001862	209342	0	633	-1	13	0.0	7	0.03423	0.00374	-0.47941	-0.31994	-0.55429	-0.336	0	Xu
AE001862	209183	0	792	-1	14	2.5	7	0.02506	0.00301	-0.5	-0.317	-0.50159	-0.3081	0	Xu
AE001862	210361	0	90	-1	0	0.0	7	0.06515	0.01079	-0.47353	-0.33874	-0.46885	-0.26787	0	Xu
AF074611	4457	0	108	1	0	0.0	9	0.015	0.02208	-0.21818	-0.14591	-0.41154	-0.33248	0	Xu
AF074611	6194	0	78	-1	13	0.0	1	0.01032	0.01796	-0.20417	-0.11333	-0.375	-0.29867	0	Xu
AF074611	6158	0	114	-1	1	0.0	1	0.01968	0.00435	-0.39091	-0.28636	-0.39787	-0.37228	0	Xu
AF074611	8137	0	60	1	1	0.0	9	0.00916	0.01796	-0.3	-0.19115	-0.438	-0.27016	0	Xu
AF074611	13845	0	75	1	13	2.7	9	0.02169	0.03801	-0.49643	-0.34821	-0.37755	-0.26082	0	Xu
AF074611	27544	0	90	-1	0	0.0	7	0.01068	0.02284	-0.52424	-0.3603	-0.595	-0.36667	0	Xu
AF074611	28077	0	21	1	9	0.0	9	0.02284	0.02759	-0.37727	-0.20782	-0.42174	-0.27904	0	Xu
AF074611	35778	0	3	1	12	3.2	9	0.00201	0.0176	-0.29565	-0.35513	-0.47647	-0.3712	0	Xu
AF074611	47259	0	48	-1	0	0.0	6	0.01032	0.02284	-0.49615	-0.35877	-0.55455	-0.32671	0	Xu
AF074611	48266	0	30	1	0	0.0	9	0.01117	0.02759	-0.652	-0.4132	-0.60444	-0.41956	0	Xu
AF074611	67475	0	69	1	0	0.0	9	0.02034	0.02284	-0.37083	-0.28433	-0.35	-0.27487	0	Xu
AF074611	73835	0	48	-1	0	0.0	6	0.01032	0.02284	-0.49615	-0.35877	-0.55455	-0.32671	0	Xu
AF074611	99625	0	9	1	20	3.5	8	0.01108	0.03801	-0.40345	-0.24103	-0.55323	-0.34371	0	Xu
AF074611	99616	0	18	1	21	1.3	9	0.01796	0.01968	-0.44444	-0.29148	-0.54746	-0.34661	0	Xu
AP001510	647	0	129	-1	14	1.4	7	0.03382	0.03959	-0.4	-0.2876	-0.404	-0.2798	0	Xu
AP001510	1687	0	6	-1	0	0.0	5	0.01668	0.00323	-0.06429	-0.07621	-0.41351	-0.29484	0	Xu
AP001510	1684	0	9	-1	0	0.0	0	0.04854	0.02195	-0.0	-0.02187	-0.42432	-0.33997	0	Xu
AP001510	43743	0	42	1	0	0.0	9	0.00891	0.01083	-0.185	-0.0995	-0.36286	-0.324	0	Xu
AP001510	55017	0	48	-1	0	0.0	6	0.03382	0.02184	-0.30385	-0.24838	-0.44783	-0.30907	0	Xu
AP001510	54942	0	123	-1	11	0.0	1	0.01668	0.00323	-0.035	-0.123	-0.17674	-0.19702	0	Xu
AP001510	78533	0	6	-1	0	0.0	6	0.01204	0.01194	-0.2381	-0.16286	-0.40857	-0.26451	0	Xu
AP001510	78530	0	9	-1	0	0.0	1	0.03419	0.02195	-0.2381	-0.16381	-0.56667	-0.36778	0	Xu
AP001510	101968	0	9	-1	0	0.0	6	0.02781	0.01194	-0.24375	-0.14187	-0.43158	-0.28724	0	Xu
AP001510	101959	0	18	-1	0	0.0	0	0.01204	0.0179	-0.25	-0.145	-0.42703	-0.37151	0	Xu
AP001510	130189	0	21	1	0	0.0	9	0.01407	0.01931	-0.5	-0.328	-0.47556	-0.32191	0	Xu
AP001510	130156	0	54	1	16	3.7	8	0.00944	0.02015	-0.42083	-0.30667	-0.42273	-0.29477	0	Xu
AP001510	131889	1	75	-1	0	0.0	0	0.0123	0.01151	-0.30455	-0.24409	-0.3425	-0.2495	0	Xu
AP001510	146219	0	60	1	0	0.0	9	0.00795	0.00957	-0.39	-0.1745	-0.5725	-0.3495	0	Xu
AP001510	158718	0	3	-1	0	0.0	5	0.00196	0.01441	-0.18667	-0.19093	-0.3303	-0.22491	0	Xu
AP001510	158715	0	6	-1	0	0.0	4	0.01307	0.01692	-0.18667	-0.196	-0.3	-0.24194	0	Xu
AP001510	164342	0	21	1	0	0.0	9	0.02195	0.02757	-0.20417	-0.10083	-0.45926	-0.30296	0	Xu
AP001510	186229	0	42	1	0	0.0	9	0.01307	0.01668	-0.23889	-0.19222	-0.38378	-0.25286	0	Xu
AP001510	207211	0	3	1	10	3.1	8	0.00196	0.03632	-0.30588	-0.33076	-0.36154	-0.32185	0	Xu
AP001510	207202	0	12	1	21	1.9	9	0.02379	0.02585	-0.21875	-0.1825	-0.38108	-0.27514	0	Xu
AP001510	208804	0	99	1	1	0.0	8	0.01651	0.02083	-0.30909	-0.22273	-0.53611	-0.3225	0	Xu
AP001510	208774	0	129	1	0	0.0	8	0.02073	0.02585	-0.27727	-0.18636	-0.39512	-0.22678	0	Xu
AP001510	214622	0	36	1	13	0.0	8	0.00957	0.01088	-0.33	-0.20975	-0.85676	-0.54051	0	Xu
AP001510	224385	0	9	1	10	3.1	9	0.00957	0.01213	-0.14762	-0.21148	-0.508	-0.3422	0	Xu
AP001510	224364	0	30	1	0	0.0	8	0.00323	0.02195	-0.20952	-0.1319	-0.32826	-0.22578	0	Xu
AP001510	226322	0	87	1	24	5.6	9	0.00957	0.01213	-0.60357	-0.38857	-0.64259	-0.35889	0	Xu
AP001510	237331	0	9	-1	1	0.0	2	0.01892	0.00944	-0.23913	-0.20696	-0.54583	-0.35062	0	Xu
AP001510	237328	0	12	-1	0	0.0	3	0.04854	0.02195	-0.36364	-0.24227	-0.56667	-0.35229	0	Xu
AP001510	256169	0	12	-1	0	0.0	7	0.01194	0.02299	-0.40526	-0.27579	-0.57111	-0.35022	0	Xu
AP001510	256792	0	21	1	13	2.0	9	0.0161	0.03959	-0.32105	-0.25847	-0.36512	-0.23665	0	Xu
AP001510	256771	0	42	1	10	1.5	8	0.01307	0.01668	-0.38	-0.33605	-0.47333	-0.23889	0	Xu
AP001510	267608	0	3	-1	23	1.8	1	0.00071	0.00657	-0.15	-0.08187	-0.26486	-0.17838	0	Xu
AP001510	273750	0	21	-1	0	0.0	4	0.01194	0.0132	-0.24706	-0.19059	-0.45854	-0.26268	0	Xu
AP001510	290735	0	6	-1	0	0.0	4	0.03419	0.00073	-0.22667	-0.201	-0.37368	-0.25908	0	Xu
L10ECOHIND	2714	1	3	-1	0	0.0	0	0.00709	0.01064	-0.4	-0.25182	-0.46857	-0.34266	0	Xu
L10ECOHIND	2711	1	6	-1	4	0.0	7	0.05585	0.05585	-0.41905	-0.26143	-0.46857	-0.34266	0	Xu
NC_000871	9735	1	6	-1	0	0.0	1	0.0459	0.01232	-0.32143	-0.23571	-0.41667	-0.31137	0	Xu
NC_000871	22834	0	15	-1	0	0.0	7	0.01727	0.02221	-0.26667	-0.11238	-0.48095	-0.28452	0	Xu
NC_000871	27267	0	399	1	0	0.0	9	0.01137	0.02603	-0.3375	-0.21125	-0.38723	-0.24777	0	Xu
NC_000871	28488	0	12	-1	21	1.9	5	0.02881	0.00295	-0.12778	-0.10722	-0.75526	-0.47132	0	Xu
NC_000871	36353	0	15	1	0	0.0	9	0.01085	0.01553	-0.225	-0.17575	-0.39706	-0.27124	0	Xu
NC_000929	5036	0	9	-1	0	0.0	6	0.00602	0.02737	-0.35789	-0.23	-0.34878	-0.25795	0	Xu
NC_000929	7476	0	6	1	20	4.1	9	0.00956	0.02119	-0.43182	-0.33818	-0.40208	-0.32115	0	Xu
NC_000929	9452	0	12	1	1	0.0	9	0.00907	0.02993	-0.4	-0.25417	-0.56863	-0.33843	0	Xu
NC_000929	12200	0	102	-1	0	0.0	4	0.05499	0.00734	-0.55517	-0.38583	-0.5381	-0.34825	0	Xu
NC_000929	12703	0	186	1	2	0.0	8	0.02119	0.02737	-0.45758	-0.32824	-0.52857	-0.32429	0	Xu
NC_000929	20928	0	24	-1	0	0.0	6	0.00536	0.01814	-0.304	-0.31104	-0.59655	-0.46803	0	Xu
NC_000929	35912	0	42	1	12	2.6	8	0.0042	0.01962	-0.26364	-0.22818	-0.46739	-0.30433	0	Xu
NC_000929	35900	0	54	1	6	0.0	9	0.00907	0.02993	-0.27619	-0.23905	-0.45778	-0.27778	0	Xu
NC_000964	4485	0	6	1	0	0.0	9	0.00527	0.03798	-0.22222	-0.25389	-0.43415	-0.29339	0	Xu
NC_000964	4461	0	30	1	0	0.0	9	0.01998	0.02764	-0.285	-0.20995	-0.34762	-0.23262	0	Xu
NC_000964	5242	0	72	1	0	0.0	9	0.01998	0.02227	-0.3	-0.22697	-0.54107	-0.34284	0	Xu
NC_000964	5212	0	102	1	16	3.5	9	0.01133	0.02048	-0.12174	-0.11904	-0.356	-0.26618	0	Xu
NC_000964	11969	0	24	1	13	0.0	9	0.01551	0.01949	-0.2913	-0.21696	-0.60714	-0.40024	0	Xu
NC_000964	14779	0	90	-1	2	0.0	6	0.01551	0.02853	-0.38636	-0.30995	-0.44762	-0.30238	0	Xu
NC_000964	17246	1	3	-1	9	0.0	0	0.0005	0.00437	-0.345	-0.226	-0.88974	-0.55667	-1	Xu
NC_000964	25416	0	6	-1	16	2.4	4	0.01084	0.02088	-0.19048	-0.12381	-0.29778	-0.23298	0	Xu
NC_000964	27715	0	42	-1	12	3.2	7	0.03798	0.00169	-0.42083	-0.29792	-0.40476	-0.24462	0	Xu
NC_000964	28235	0	24	1	0	0.0	9	0.04782	0.05697	-0.50588	-0.32588	-0.54571	-0.33089	0	Xu
NC_001335	13083	0	42	-1	13	1.8	1	0.03888	0.00619	-0.5875	-0.39469	-0.51746	-0.31887	0	Xu
NC_001335	15362	1	21	-1	6	2.0	2	0.03669	0.01256	-0.80857	-0.50229	-0.73582	-0.45716	-1	Xu
NC_001335	28362	0	135	-1	1	0.0	6	0.03976	0.01256	-0.39667	-0.2096	-0.59667	-0.35533	0	Xu
NC_001335	35644	0	24	1	13	0.0	9	0.00556	0.01494	-0.25357	-0.25921	-0.49844	-0.35953	0	Xu
NC_001335	35554	0	114	1	2	1.1	9	0.00463	0.03107	-0.52333	-0.37	-0.49516	-0.32055	0	Xu
NC_001335	35536	0	132	1	0	0.0	8	0.0125	0.02238	-0.34	-0.184	-0.42581	-0.26968	0	Xu
NC_001335	38047	0	219	-1	0	0.0	7	0.0265	0.01794	-0.56667	-0.4186	-0.67143	-0.43586	0	Xu
NC_001335	37819	0	447	-1	13	2.7	4	0.00775	0.03794	-0.7125	-0.36372	-0.67903	-0.38613	0	Xu
NC_001335	38434	0	15	1	6	2.0	9	0.00469	0.0265	-0.60333	-0.36267	-0.71429	-0.4146	0	Xu
NC_001335	38419	0	30	1	0	0.0	9	0.00319	0.03169	-0.50909	-0.30818	-0.65156	-0.37359	0	Xu
NC_001335	38353	0	96	1	0	2.9	9	0.01256	0.03669	-0.41176	-0.28971	-0.61111	-0.36	0	Xu
NC_001335	38275	0	174	1	27	4.9	9	0.01275	0.03107	-0.45862	-0.32931	-0.48333	-0.34633	0	Xu
NC_001335	39682	0	84	-1	0	0.0	6	0.03976	0.01744	-0.60606	-0.39939	-0.50169	-0.31763	0	Xu
NC_001335	43912	0	15	-1	13	0.0	5	0.02238	0.0125	-0.39687	-0.28531	-0.48333	-0.33232	0	Xu
NC_001335	47345	0	42	1	1	0.0	9	0.00544	0.03107	-0.2875	-0.19219	-0.50656	-0.29262	0	Xu
NC_001335	47893	0	66	1	0	2.4	9	0.003	0.04482	-0.41613	-0.29742	-0.35263	-0.28449	0	Xu
NC_001335	48530	0	48	-1	13	0.0	6	0.00369	0.03888	-0.41379	-0.25138	-0.34068	-0.23051	0	Xu
NC_001335	49146	0	3	1	6	1.8	9	0.00081	0.00556	-0.35	-0.258	-0.51538	-0.34077	0	Xu
NC_001335	48939	0	210	1	13	2.3	9	0.01119	0.05489	-0.35185	-0.24667	-0.47705	-0.32197	0	Xu
NC_001335	49802	0	342	-1	0	0.0	4	0.01119	0.01757	-0.5069	-0.39379	-0.57903	-0.38371	0	Xu
NC_001416	4276	0	159	1	13	1.8	9	0.015	0.02497	-0.24	-0.23576	-0.52333	-0.30567	0	Xu
NC_001416	10113	1	18	-1	2	0.0	1	0.00396	0.02484	-0.31333	-0.24157	-0.66774	-0.40371	-1	Xu
NC_001416	31016	0	30	1	2	1.0	9	0.02933	0.03237	-0.28182	-0.24273	-0.47708	-0.32625	0	Xu
NC_001416	33389	0	72	1	1	0.0	9	0.015	0.02867	-0.12381	-0.1181	-0.4825	-0.36003	0	Xu
NC_001416	33371	0	90	1	0	0.0	9	0.00885	0.01222	-0.15	-0.13769	-0.29111	-0.23736	0	Xu
NC_001416	33317	0	144	1	0	0.0	9	0.01625	0.02054	-0.092	-0.03876	-0.3875	-0.27438	0	Xu
NC_001416	42079	0	42	-1	0	0.0	4	0.02735	0.01288	-0.24615	-0.14885	-0.17551	-0.10467	0	Xu
NC_001416	42204	0	66	-1	0	0.0	2	0.01519	0.01381	-0.40345	-0.26552	-0.36735	-0.24857	0	Xu
NC_001416	43238	0	6	1	2	0.0	8	0.01909	0.02319	-0.51304	-0.2453	-0.39545	-0.29423	0	Xu
NC_001416	43142	0	102	1	0	0.0	9	0.01222	0.01876	-0.46087	-0.39609	-0.47045	-0.29289	0	Xu
NC_001416	43118	0	126	1	4	0.0	9	0.00396	0.00997	-0.30909	-0.15318	-0.53673	-0.31653	0	Xu
NC_001416	46351	0	15	1	13	2.6	9	0.01361	0.03237	-0.21818	-0.18409	-0.62222	-0.40978	0	Xu
NC_001416	46312	0	54	1	6	0.0	8	0.00515	0.01658	-0.31071	-0.24429	-0.3413	-0.2513	0	Xu
NC_001697	4932	0	6	-1	0	0.0	3	0.06567	0.05617	-0.26316	-0.20316	-0.34146	-0.28293	0	Xu
NC_001697	4908	0	30	-1	0	0.0	6	0.03627	0.03764	-0.31304	-0.24826	-0.35814	-0.26998	0	Xu
NC_001697	8045	0	12	-1	0	0.0	5	0.01706	0.01088	-0.05333	-0.06	-0.34474	-0.29384	0	Xu
NC_001697	16548	0	45	1	0	0.0	9	0.00421	0.01157	-0.43704	-0.28778	-0.36531	-0.24388	0	Xu
NC_001697	16515	0	78	1	13	0.0	9	0.00912	0.01235	-0.05	-0.034	-0.45581	-0.29093	0	Xu
NC_001697	16966	0	72	-1	0	0.0	6	0.00931	0.00833	-0.11818	-0.20427	-0.3881	-0.30521	0	Xu
NC_001697	17520	0	6	1	0	0.0	8	0.04097	0.04313	-0.48462	-0.31554	-0.27241	-0.23514	0	Xu
NC_001697	20661	0	3	-1	0	0.0	2	0.00294	0.00627	-0.33333	-0.28133	-0.53784	-0.4013	0	Xu
NC_001697	20658	0	6	-1	0	0.0	1	0.05617	0.00892	-0.40833	-0.16167	-0.55278	-0.53531	-1	Xu
NC_001697	21488	1	3	-1	0	0.0	0	0.00294	0.00931	-0.37586	-0.24234	-0.62941	-0.388	0	Xu
NC_001697	25768	0	15	-1	0	0.0	6	0.02196	0.0049	-0.36667	-0.30083	-0.375	-0.32394	0	Xu
NC_001697	25765	0	18	-1	0	0.0	7	0.02392	0.03803	-0.41538	-0.27769	-0.375	-0.28806	0	Xu
NC_001706	3233	0	6	-1	24	4.9	0	0.00629	0.02767	-0.60909	-0.49545	-0.67241	-0.44448	-1	Xu
NC_001706	3230	0	9	-1	23	1.6	7	0.06945	0.06945	-0.69091	-0.55091	-0.75517	-0.49931	-1	Xu
NC_001706	3596	0	27	1	13	1.3	9	0.05436	0.06945	-0.38667	-0.244	-0.47714	-0.42091	0	Xu
NC_001706	6458	0	36	1	0	0.0	8	0.00629	0.00685	-0.4	-0.28111	-0.356	-0.27252	0	Xu
NC_001706	6449	0	45	1	10	0.0	9	0.01188	0.02222	-0.84444	-0.53444	-0.43043	-0.32435	0	Xu
NC_001706	6614	0	18	-1	13	2.3	1	0.03018	0.03563	-0.55385	-0.40308	-0.52273	-0.36032	0	Xu
NC_001706	9426	0	39	1	20	4.2	8	0.01188	0.02222	-0.32222	-0.20704	-0.44	-0.31558	0	Xu
NC_001706	12515	1	27	-1	0	0.0	0	0.00643	0.01188	-0.04	-0.051	-0.5425	-0.45877	0	Xu
NC_001706	12512	1	30	-1	0	0.0	7	0.06945	0.06945	-0.10909	-0.105	-0.54524	-0.43836	0	Xu
NC_001706	12452	0	90	-1	13	1.5	5	0.02949	0.01607	-0.33913	-0.23087	-0.24318	-0.18045	0	Xu
NC_001706	20439	0	15	1	13	1.8	9	0.01397	0.01481	-0.13333	-0.08067	-0.27353	-0.21694	0	Xu
NC_001895	7450	0	42	-1	6	0.0	3	0.04171	0.0088	-0.47333	-0.32667	-0.42963	-0.33646	0	Xu
NC_001895	8312	0	33	1	0	0.0	9	0.0365	0.04312	-0.45312	-0.315	-0.69365	-0.41365	0	Xu
NC_001895	8300	0	45	1	0	0.0	8	0.00757	0.02279	-0.46364	-0.29939	-0.54677	-0.33339	0	Xu
NC_001895	8216	0	129	1	13	2.7	9	0.02213	0.03329	-0.56765	-0.375	-0.46119	-0.33028	0	Xu
NC_001895	8159	0	186	1	16	4.3	9	0.01863	0.02279	-0.1913	-0.11957	-0.48727	-0.30507	0	Xu
NC_001895	8072	0	273	1	0	0.0	8	0.01929	0.0226	-0.41786	-0.31346	-0.65667	-0.41683	0	Xu
NC_001895	19682	1	21	-1	19	3.4	0	0.00775	0.01891	-0.38148	-0.18037	-0.73962	-0.45358	-1	Xu
