GENOME	LOC	LABEL	N	DIR	RBS1	RBS2	MOTIF	A0	A1	LF50R3	HK50R3	LF100R3	HK100R3	PRED	METHOD
KM677927	3065	1	480	1	6	0.0	9	0.01901	0.03112	-0.52917	-0.36671	-0.45294	-0.33098	0	Atkins
KM677927	3032	1	513	1	0	0.0	9	0.01456	0.02392	-0.40714	-0.29107	-0.49038	-0.37288	0	Atkins
KM677927	2918	1	627	1	0	0.0	9	0.01257	0.0141	-0.34483	-0.28221	-0.39216	-0.27	0	Atkins
KM677927	6472	0	6	-1	16	2.4	1	0.01456	0.03112	-0.61379	-0.44103	-0.48077	-0.35419	-1	Atkins
KM677927	10824	0	48	-1	0	0.0	5	0.02591	0.01257	-0.11739	-0.1187	-0.2383	-0.23655	0	Atkins
KM677927	10806	0	66	-1	16	4.2	4	0.00659	0.0187	-0.4	-0.3348	-0.3	-0.26217	0	Atkins
KM677927	11489	0	27	-1	13	0.0	7	0.01104	0.01196	-0.45	-0.27417	-0.59231	-0.39115	0	Atkins
KM677927	11477	0	39	-1	0	0.0	1	0.02146	0.00567	-0.52273	-0.41336	-0.534	-0.42926	0	Atkins
KM677927	12384	0	3	1	13	0.0	9	0.00092	0.01288	-0.13043	-0.1287	-0.24651	-0.21674	0	Atkins
KM677927	12306	0	81	1	0	0.0	9	0.01226	0.0187	-0.5	-0.3524	-0.38367	-0.29286	0	Atkins
KM677927	12607	0	18	1	0	0.0	9	0.01502	0.02576	-0.75926	-0.45148	-0.6625	-0.43839	0	Atkins
KM677927	12929	0	63	-1	0	0.0	6	0.02146	0.01564	-0.205	-0.2123	-0.37556	-0.35133	0	Atkins
KM677927	12869	0	123	-1	0	0.0	4	0.01763	0.01548	-0.155	-0.1345	-0.32308	-0.31374	0	Atkins
KM677927	13279	0	72	-1	0	0.0	6	0.01886	0.0092	-0.64516	-0.35613	-0.56316	-0.32825	0	Atkins
KM677927	13270	0	81	-1	0	0.0	4	0.02254	0.01916	-0.52121	-0.34515	-0.55	-0.33636	0	Atkins
KM677927	13696	0	174	1	0	0.0	9	0.01763	0.02254	-0.43636	-0.26636	-0.47234	-0.2724	0	Atkins
KM677927	14941	0	9	1	24	5.3	8	0.01288	0.01548	-0.22414	-0.14414	-0.32931	-0.2469	0	Atkins
KP714086	2594	1	12	1	0	0.0	9	0.0091	0.01197	-0.36923	-0.23335	-0.3902	-0.3098	0	Atkins
KP714086	2522	1	84	1	16	4.7	8	0.01197	0.01293	-0.37667	-0.26557	-0.58596	-0.43211	0	Atkins
KP714086	2390	1	216	1	13	3.4	9	0.01724	0.02395	-0.48667	-0.27333	-0.53509	-0.3407	0	Atkins
KP714086	2234	1	372	1	0	0.0	9	0.01149	0.01533	-0.22	-0.108	-0.45357	-0.27	0	Atkins
KP714086	2204	1	402	1	11	0.0	9	0.01197	0.01293	-0.08929	-0.11679	-0.38983	-0.23915	0	Atkins
KP714086	2171	1	435	1	2	0.0	9	0.02155	0.02826	-0.17692	-0.17308	-0.28704	-0.205	0	Atkins
KP714086	2141	1	465	1	0	0.0	9	0.00766	0.01868	-0.26667	-0.25962	-0.41224	-0.33143	0	Atkins
KP714086	1997	1	609	1	0	0.0	9	0.0182	0.04167	-0.43462	-0.28765	-0.49057	-0.33962	0	Atkins
KP714086	1952	1	654	1	2	0.0	9	0.01916	0.03305	-0.17273	-0.17618	-0.44655	-0.26948	0	Atkins
KP714086	1910	1	696	1	2	0.0	8	0.02347	0.02634	-0.54194	-0.29742	-0.43968	-0.26222	0	Atkins
KP714086	1901	1	705	1	13	0.0	8	0.0158	0.02826	-0.43438	-0.33172	-0.46923	-0.29677	0	Atkins
KP714086	1868	1	738	1	0	0.0	8	0.01197	0.01293	-0.23143	-0.168	-0.45077	-0.30462	0	Atkins
KP714086	1844	1	762	1	13	3.2	9	0.03209	0.03305	-0.25806	-0.23777	-0.36719	-0.23686	0	Atkins
KP714086	1838	1	768	1	14	2.5	9	0.01149	0.02682	-0.28182	-0.23776	-0.31692	-0.23588	0	Atkins
KP714086	1823	1	783	1	16	2.4	8	0.01485	0.01964	-0.27879	-0.20376	-0.34478	-0.24657	0	Atkins
KP714086	1745	1	861	1	6	1.5	8	0.00814	0.01916	-0.31875	-0.19375	-0.46912	-0.29271	0	Atkins
KP714086	1715	1	891	1	0	0.0	9	0.02395	0.02634	-0.15152	-0.06364	-0.35077	-0.22837	0	Atkins
KP714086	1712	1	894	1	0	0.0	8	0.01197	0.01533	-0.11875	-0.06562	-0.37385	-0.21822	0	Atkins
KT601119	5379	1	3	-1	0	0.0	4	0.00056	0.00784	-0.23043	-0.23174	-0.31628	-0.22605	0	Atkins
NC_000943	3671	1	15	-1	0	0.0	3	0.01065	0.02321	-0.40455	-0.34832	-0.60465	-0.36651	0	Atkins
NC_000943	3647	1	39	-1	9	0.0	4	0.00554	0.01533	-0.52963	-0.3837	-0.54286	-0.35122	0	Atkins
NC_001366	4250	1	24	-1	0	0.0	6	0.02448	0.01029	-0.424	-0.30128	-0.57708	-0.40096	0	Atkins
NC_001407	2480	1	3	-1	0	0.0	1	0.00086	0.01315	-0.4	-0.25889	-0.78966	-0.50103	-1	Atkins
NC_001436	1731	1	6	-1	1	0.0	6	0.00784	0.00654	-0.0	-0.01769	-0.11176	-0.10078	0	Atkins
NC_001436	1716	1	21	-1	0	0.0	0	0.03163	0.03686	-0.88929	-0.56214	-0.49509	-0.33906	-1	Atkins
NC_001436	1713	1	24	-1	0	0.0	1	0.01908	0.02928	-0.88929	-0.56214	-0.50462	-0.34558	-1	Atkins
NC_001436	1632	0	105	-1	13	2.9	6	0.02824	0.0251	-0.35926	-0.22889	-0.51607	-0.30554	0	Atkins
NC_001436	1593	0	144	-1	0	0.0	6	0.00654	0.01046	-0.20714	-0.10393	-0.28305	-0.22	0	Atkins
NC_001436	1509	0	228	-1	0	0.0	1	0.03529	0.01176	-0.47576	-0.39952	-0.48281	-0.35422	0	Atkins
NC_001436	1506	0	231	-1	0	0.0	0	0.01542	0.02928	-0.49412	-0.352	-0.48462	-0.35569	0	Atkins
NC_001436	2351	1	51	-1	0	0.0	0	0.02876	0.04026	-0.23214	-0.15357	-0.28448	-0.19121	0	Atkins
NC_001436	2243	1	159	-1	0	0.0	1	0.03529	0.02876	-0.77879	-0.49788	-0.58421	-0.43753	0	Atkins
NC_001436	2240	1	162	-1	0	0.0	1	0.01908	0.02928	-0.80312	-0.51344	-0.56441	-0.41642	0	Atkins
NC_001436	2213	0	189	-1	0	0.0	5	0.0502	0.04026	-0.16667	-0.1343	-0.52881	-0.33966	0	Atkins
NC_001436	2153	0	249	-1	16	2.4	2	0.01255	0.04026	-0.39259	-0.30907	-0.33929	-0.27552	0	Atkins
NC_001436	2150	0	252	-1	1	0.0	7	0.00549	0.00993	-0.51071	-0.40179	-0.44035	-0.33544	0	Atkins
NC_001436	1731	1	6	-1	1	0.0	6	0.00784	0.00654	-0.0	-0.01769	-0.11176	-0.10078	0	Atkins
NC_001436	1716	1	21	-1	0	0.0	0	0.03163	0.03686	-0.88929	-0.56214	-0.49509	-0.33906	-1	Atkins
NC_001436	1713	1	24	-1	0	0.0	1	0.01908	0.02928	-0.88929	-0.56214	-0.50462	-0.34558	-1	Atkins
NC_001436	1632	0	105	-1	13	2.9	6	0.02824	0.0251	-0.35926	-0.22889	-0.51607	-0.30554	0	Atkins
NC_001436	1593	0	144	-1	0	0.0	6	0.00654	0.01046	-0.20714	-0.10393	-0.28305	-0.22	0	Atkins
NC_001436	1509	0	228	-1	0	0.0	1	0.03529	0.01176	-0.47576	-0.39952	-0.48281	-0.35422	0	Atkins
NC_001436	1506	0	231	-1	0	0.0	0	0.01542	0.02928	-0.49412	-0.352	-0.48462	-0.35569	0	Atkins
NC_001437	3674	1	15	-1	0	0.0	3	0.0115	0.02044	-0.32593	-0.22144	-0.50556	-0.31333	0	Atkins
NC_001437	3653	1	36	-1	0	0.0	1	0.01597	0.01555	-0.46538	-0.275	-0.58246	-0.39053	-1	Atkins
NC_001450	1923	1	60	-1	2	0.0	5	0.00628	0.03519	-0.53182	-0.37591	-0.43333	-0.32633	0	Atkins
NC_001450	1920	1	63	-1	13	0.0	0	0.04084	0.03959	-0.55714	-0.39381	-0.42162	-0.31751	0	Atkins
NC_001450	1917	1	66	-1	13	0.0	7	0.03016	0.0443	-0.53182	-0.37591	-0.41842	-0.31842	0	Atkins
NC_001450	1830	1	153	-1	0	0.0	1	0.03519	0.0267	-0.51364	-0.34823	-0.47179	-0.32897	0	Atkins
NC_001450	1785	1	198	-1	9	0.0	0	0.01822	0.00157	-0.43462	-0.32154	-0.49787	-0.42272	0	Atkins
NC_001451	12352	1	30	-1	0	0.0	1	0.00335	0.00109	-0.58214	-0.40864	-0.54898	-0.41763	-1	Atkins
NC_001451	24519	0	12	1	0	0.0	9	0.0198	0.02674	-0.73571	-0.42143	-0.52759	-0.3801	0	Atkins
NC_001451	24498	0	33	1	0	0.0	9	0.0223	0.03119	-0.38636	-0.3225	-0.68182	-0.4037	0	Atkins
NC_001451	25898	0	30	-1	9	0.0	3	0.01325	0.023	-0.26923	-0.16885	-0.58667	-0.38644	0	Atkins
NC_001452	1767	0	48	-1	5	0.0	1	0.01523	0.04179	-0.58437	-0.37156	-0.53125	-0.33979	0	Atkins
NC_001452	1722	0	93	-1	1	0.0	6	0.04244	0.01879	-0.188	-0.1456	-0.52931	-0.38576	0	Atkins
NC_001452	4961	0	45	1	0	2.0	9	0.02235	0.03045	-0.06111	-0.00889	-0.26341	-0.1978	0	Atkins
NC_001503	2080	1	6	-1	0	0.0	0	0.01985	0.01611	-0.54333	-0.54813	-0.70192	-0.53604	-1	Atkins
NC_001503	2077	1	9	-1	0	0.0	7	0.00467	0.04273	-0.55357	-0.58729	-0.68235	-0.53008	-1	Atkins
NC_001503	2080	1	6	-1	0	0.0	0	0.01985	0.01611	-0.54333	-0.54813	-0.70192	-0.53604	-1	Atkins
NC_001503	2077	1	9	-1	0	0.0	7	0.00467	0.04273	-0.55357	-0.58729	-0.68235	-0.53008	-1	Atkins
NC_001503	7371	0	57	1	0	0.0	8	0.03105	0.03922	-0.31786	-0.23639	-0.69649	-0.42825	0	Atkins
NC_001550	2117	1	123	-1	10	1.3	4	0.05785	0.03105	-0.38696	-0.31965	-0.444	-0.30786	0	Atkins
NC_001550	2090	1	150	-1	0	0.0	1	0.01302	0.0025	-0.525	-0.59197	-0.47679	-0.39805	0	Atkins
NC_001550	2069	0	171	-1	11	0.0	1	0.01753	0.0313	-0.66286	-0.4824	-0.55345	-0.44091	0	Atkins
NC_001550	2998	1	3	-1	13	3.7	1	0.00075	0.03406	-0.27241	-0.1631	-0.61923	-0.38635	-1	Atkins
NC_001550	2117	1	123	-1	10	1.3	4	0.05785	0.03105	-0.38696	-0.31965	-0.444	-0.30786	0	Atkins
NC_001550	2090	1	150	-1	0	0.0	1	0.01302	0.0025	-0.525	-0.59197	-0.47679	-0.39805	0	Atkins
NC_001550	2069	0	171	-1	11	0.0	1	0.01753	0.0313	-0.66286	-0.4824	-0.55345	-0.44091	0	Atkins
NC_001598	7917	0	81	1	2	0.0	9	0.01612	0.0169	-0.53913	-0.36961	-0.66111	-0.41093	0	Atkins
NC_001598	11390	0	12	1	13	1.2	9	0.02176	0.02584	-0.436	-0.264	-0.5	-0.32039	0	Atkins
NC_001598	11348	0	54	1	0	0.0	9	0.00991	0.05167	-0.56667	-0.41714	-0.68182	-0.47355	0	Atkins
NC_001598	11300	0	102	1	1	0.0	9	0.0169	0.03205	-0.408	-0.2836	-0.5087	-0.36761	0	Atkins
NC_001598	12963	0	6	1	0	0.0	9	0.01263	0.01981	-0.38333	-0.30667	-0.40513	-0.35841	0	Atkins
NC_001598	14782	0	9	1	0	0.0	8	0.00991	0.01865	-0.28462	-0.22769	-0.434	-0.2752	0	Atkins
NC_001598	14764	0	27	1	2	0.0	8	0.01496	0.01535	-0.4	-0.31143	-0.38478	-0.28891	0	Atkins
NC_001633	2003	1	36	-1	0	0.0	0	0.01457	0.01316	-0.335	-0.2234	-0.50455	-0.32166	0	Atkins
NC_001633	1970	1	69	-1	2	0.0	5	0.0094	0.00893	-0.07857	-0.05214	-0.29608	-0.24249	0	Atkins
NC_001633	1904	1	135	-1	6	0.0	3	0.01175	0.02257	-0.35455	-0.25982	-0.544	-0.32098	0	Atkins
NC_001633	1706	1	333	-1	24	3.9	7	0.00517	0.0141	-0.25185	-0.1563	-0.33929	-0.24368	0	Atkins
NC_001633	1694	1	345	-1	0	0.0	4	0.02727	0.02257	-0.22593	-0.17556	-0.32679	-0.21911	0	Atkins
NC_001633	1592	1	447	-1	0	0.0	3	0.01316	0.01457	-0.47143	-0.32571	-0.50377	-0.32783	0	Atkins
NC_001641	1971	1	144	-1	13	2.7	7	0.01011	0.00571	-0.368	-0.27944	-0.35625	-0.26125	0	Atkins
NC_001661	9438	1	42	1	0	0.0	8	0.01131	0.01768	-0.24444	-0.08667	-0.58409	-0.38659	0	Atkins
NC_001661	12017	0	24	-1	9	0.0	4	0.02182	0.02644	-0.39231	-0.30885	-0.5	-0.39159	0	Atkins
NC_001661	13777	0	54	1	0	0.0	9	0.01226	0.02118	-0.35714	-0.19695	-0.40789	-0.30071	0	Atkins
NC_001726	1032	1	3	-1	1	0.0	6	0.00165	0.01488	-0.41667	-0.23283	-0.59107	-0.48698	0	Atkins
NC_001726	1029	1	6	-1	0	0.0	7	0.01543	0.00606	-0.38	-0.22352	-0.62632	-0.40789	0	Atkins
NC_001726	3528	0	45	1	6	0.0	8	0.01598	0.01763	-0.28276	-0.19483	-0.41481	-0.28439	0	Atkins
NC_001726	3504	0	69	1	1	0.0	9	0.01708	0.02534	-0.7	-0.41	-0.42963	-0.25574	0	Atkins
NC_001726	3462	0	111	1	0	0.0	9	0.01433	0.01488	-0.48387	-0.33032	-0.55246	-0.36902	0	Atkins
NC_001726	3327	0	246	1	0	0.0	9	0.01102	0.01653	-0.31786	-0.26711	-0.45556	-0.31643	0	Atkins
NC_001726	3249	0	324	1	6	2.0	9	0.01598	0.01708	-0.57097	-0.37581	-0.60517	-0.41122	0	Atkins
NC_001726	3090	0	483	1	13	0.0	9	0.01488	0.03471	-0.57419	-0.33968	-0.60154	-0.38646	0	Atkins
NC_001726	3027	0	546	1	0	0.0	9	0.01488	0.01598	-0.48889	-0.2863	-0.60667	-0.36683	0	Atkins
NC_001726	2991	0	582	1	0	0.0	9	0.01047	0.01653	-0.45714	-0.27836	-0.58197	-0.36656	0	Atkins
NC_001726	2964	0	609	1	0	0.0	9	0.01433	0.03471	-0.48966	-0.28379	-0.46909	-0.33596	0	Atkins
NC_001726	2961	0	612	1	0	0.0	8	0.02149	0.02534	-0.5	-0.30536	-0.52778	-0.30852	0	Atkins
NC_001747	2195	1	30	-1	3	2.1	4	0.01318	0.02447	-0.52963	-0.38185	-0.55085	-0.40992	0	Atkins
NC_001747	2063	1	162	-1	27	6.3	6	0.02228	0.02102	-0.45294	-0.292	-0.64219	-0.38953	0	Atkins
NC_001747	1886	1	339	-1	0	0.0	7	0.01726	0.03138	-0.33913	-0.30496	-0.49038	-0.30827	0	Atkins
NC_001747	1772	1	453	-1	0	0.0	1	0.01255	0.01851	-0.2125	-0.25116	-0.33333	-0.25402	0	Atkins
NC_001747	1701	0	54	1	13	2.2	9	0.02824	0.03169	-0.47826	-0.38435	-0.44898	-0.43178	0	Atkins
NC_001747	4147	0	39	1	0	0.0	9	0.0113	0.01726	-0.24444	-0.24426	-0.52075	-0.33538	0	Atkins
NC_001747	3811	0	375	1	0	0.0	8	0.01506	0.01851	-0.34063	-0.25969	-0.44915	-0.24559	0	Atkins
NC_001802	1665	1	171	-1	0	0.0	5	0.0261	0.01305	-0.15185	-0.21496	-0.41071	-0.2825	0	Atkins
NC_001802	1635	1	201	-1	13	1.6	0	0.01801	0.01487	-0.86	-0.616	-0.68889	-0.47667	0	Atkins
NC_001802	5318	1	21	1	0	0.0	9	0.02557	0.03706	-0.32917	-0.22792	-0.426	-0.2939	0	Atkins
NC_001802	5821	0	33	1	14	3.4	9	0.00861	0.01383	-0.31818	-0.18818	-0.47826	-0.35696	0	Atkins
NC_001802	5809	0	45	1	11	0.0	8	0.01461	0.02584	-0.4	-0.39104	-0.50417	-0.33	0	Atkins
NC_001943	2843	1	48	-1	13	3.1	0	0.01358	0.01095	-0.63077	-0.45038	-0.62679	-0.4238	-1	Atkins
NC_001943	2840	1	51	-1	13	0.0	1	0.02278	0.03329	-0.656	-0.4684	-0.5625	-0.39375	-1	Atkins
NC_001943	2837	1	54	-1	0	0.0	4	0.03329	0.03329	-0.656	-0.4684	-0.57091	-0.38964	0	Atkins
NC_001961	7693	1	6	-1	22	6.2	1	0.01589	0.02054	-0.68788	-0.48236	-0.58421	-0.47996	-1	Atkins
NC_001961	4373	1	21	1	13	3.1	8	0.01027	0.02638	-0.36957	-0.22826	-0.586	-0.39898	0	Atkins
NC_001961	4301	1	93	1	0	0.0	8	0.01589	0.02649	-0.45	-0.37208	-0.55319	-0.37383	0	Atkins
NC_001961	4184	1	210	1	0	0.0	9	0.02206	0.02562	-0.47586	-0.27483	-0.64918	-0.40836	0	Atkins
NC_001961	4031	1	363	1	0	0.0	9	0.01654	0.02206	-0.25357	-0.39021	-0.44182	-0.35436	0	Atkins
NC_001961	3995	1	399	1	0	0.0	8	0.00984	0.01968	-0.34	-0.216	-0.62037	-0.41407	0	Atkins
NC_001961	3962	1	432	1	0	0.0	8	0.02465	0.02562	-0.145	-0.11345	-0.36667	-0.29396	0	Atkins
NC_001961	3911	1	483	1	0	0.0	8	0.01654	0.02206	-0.50714	-0.36714	-0.47872	-0.29128	0	Atkins
NC_001961	12177	0	120	-1	0	0.0	5	0.01546	0.01114	-0.496	-0.3716	-0.56481	-0.3645	0	Atkins
NC_001961	12099	0	198	-1	0	0.0	3	0.02465	0.00076	-0.56667	-0.44267	-0.615	-0.47325	0	Atkins
NC_001961	12081	0	216	-1	0	0.0	7	0.01849	0.02616	-0.42105	-0.31716	-0.67778	-0.46222	0	Atkins
NC_001961	13278	0	180	-1	0	0.0	1	0.02616	0.01384	-0.5625	-0.37583	-0.51321	-0.33717	0	Atkins
NC_001961	13275	0	183	-1	0	0.0	4	0.01179	0.01925	-0.54	-0.3916	-0.51321	-0.34566	0	Atkins
NC_001961	13859	0	72	1	0	0.0	8	0.01589	0.02649	-0.38571	-0.2975	-0.49804	-0.35333	0	Atkins
NC_001961	14349	0	39	-1	0	0.0	4	0.00616	0.00984	-0.59583	-0.35417	-0.56327	-0.34653	0	Atkins
NC_001961	14894	0	3	1	0	0.0	9	0.00032	0.01752	-0.16071	-0.12	-0.44259	-0.32389	0	Atkins
NC_001961	14885	0	12	1	3	1.1	9	0.00984	0.01968	-0.18148	-0.14593	-0.46346	-0.35577	0	Atkins
NC_002022	674	1	108	1	0	0.0	9	0.00677	0.01257	-0.20417	-0.11542	-0.36458	-0.24777	0	Atkins
NC_002022	641	1	141	1	1	1.0	9	0.01451	0.01741	-0.24138	-0.17	-0.30392	-0.23627	0	Atkins
NC_002022	632	1	150	1	13	2.2	9	0.00677	0.0087	-0.21852	-0.17593	-0.31042	-0.18875	0	Atkins
NC_002306	12407	1	30	-1	13	0.0	1	0.01414	0.00234	-0.91923	-0.59	-0.84419	-0.56923	-1	Atkins
NC_002306	25014	0	60	1	16	4.0	9	0.00298	0.00829	-0.28889	-0.17889	-0.6	-0.38293	0	Atkins
NC_002306	28452	0	3	1	0	1.4	8	0.00064	0.01999	-0.13125	-0.21937	-0.34103	-0.24308	0	Atkins
NC_002306	28422	0	33	1	0	0.0	8	0.00649	0.0167	-0.25	-0.25	-0.41212	-0.29639	0	Atkins
NC_002470	3305	1	3	-1	0	0.0	0	0.00058	0.0093	-0.536	-0.46972	-0.38864	-0.44777	-1	Atkins
NC_002470	3302	1	6	-1	0	0.0	7	0.01046	0.03806	-0.516	-0.44384	-0.4	-0.45353	0	Atkins
NC_002532	9874	0	78	1	0	0.0	9	0.01815	0.02188	-0.55806	-0.36174	-0.58276	-0.35128	0	Atkins
NC_002532	9838	0	114	1	0	0.0	9	0.01232	0.01556	-0.21	-0.2192	-0.5434	-0.34221	0	Atkins
NC_002532	10765	0	30	1	0	0.0	9	0.00907	0.02123	-0.32174	-0.3213	-0.5	-0.35457	0	Atkins
NC_002532	11181	0	108	1	0	0.0	9	0.01799	0.01864	-0.044	-0.0524	-0.51373	-0.32235	0	Atkins
NC_002532	11136	0	153	1	0	0.0	9	0.01232	0.01556	-0.3	-0.2025	-0.25556	-0.20022	0	Atkins
NC_002532	11067	0	222	1	0	0.0	8	0.00097	0.01702	-0.55	-0.31955	-0.46744	-0.27349	0	Atkins
NC_002532	12354	0	33	1	2	0.0	9	0.00729	0.0175	-0.32857	-0.24007	-0.43793	-0.32257	0	Atkins
NC_002532	12348	0	39	1	13	0.0	8	0.00583	0.00762	-0.2	-0.17364	-0.40847	-0.31741	0	Atkins
NC_002618	1638	1	495	-1	0	0.0	1	0.01324	0.01275	-0.75714	-0.53	-0.69194	-0.44645	0	Atkins
NC_002766	2101	1	30	-1	1	0.0	1	0.01646	0.01775	-0.47241	-0.28517	-0.51552	-0.31069	0	Atkins
NC_002766	1930	1	201	-1	3	0.0	6	0.02711	0.03163	-0.71333	-0.45433	-0.5463	-0.35648	0	Atkins
NC_002766	1927	1	204	-1	12	3.8	1	0.01033	0.01937	-0.75667	-0.45733	-0.56667	-0.36241	0	Atkins
NC_002766	1699	1	432	-1	0	0.0	1	0.01646	0.00968	-0.46429	-0.35393	-0.60182	-0.44418	0	Atkins
NC_002766	1585	1	546	-1	0	0.0	1	0.02324	0.01775	-0.34516	-0.31797	-0.42241	-0.32116	0	Atkins
NC_002766	1570	0	561	-1	0	0.0	0	0.00968	0.01808	-0.50303	-0.33294	-0.43051	-0.36275	0	Atkins
NC_002766	4067	0	96	1	1	0.0	9	0.00549	0.01453	-0.49231	-0.33808	-0.46667	-0.30896	0	Atkins
NC_002766	4022	0	141	1	0	0.0	9	0.01453	0.01549	-0.41538	-0.25231	-0.50385	-0.32442	0	Atkins
NC_002766	4019	0	144	1	0	0.0	9	0.01614	0.01937	-0.44444	-0.3437	-0.51481	-0.34167	0	Atkins
NC_002766	3968	0	195	1	0	0.0	9	0.01453	0.01937	-0.3037	-0.22185	-0.45556	-0.36387	0	Atkins
NC_002766	3938	0	225	1	0	0.0	8	0.01775	0.02324	-0.23333	-0.16593	-0.23958	-0.20006	0	Atkins
NC_002766	3794	0	369	1	16	4.7	9	0.00968	0.01097	-0.532	-0.2408	-0.626	-0.33288	0	Atkins
NC_002766	3773	0	390	1	15	3.8	9	0.01291	0.01679	-0.39565	-0.26565	-0.57925	-0.34183	0	Atkins
NC_002766	3704	0	459	1	0	0.0	9	0.01453	0.01549	-0.23571	-0.17571	-0.36471	-0.24431	0	Atkins
NC_003092	6519	1	6	-1	0	0.0	1	0.0207	0.02058	-0.68214	-0.50904	-0.64727	-0.43167	-1	Atkins
NC_003092	3526	1	24	1	22	4.9	8	0.00861	0.01689	-0.46364	-0.34459	-0.494	-0.3548	0	Atkins
NC_003092	3409	1	141	1	0	0.0	9	0.00906	0.02181	-0.264	-0.16128	-0.44423	-0.25613	0	Atkins
NC_003092	3394	1	156	1	26	3.4	9	0.01723	0.01935	-0.324	-0.288	-0.33077	-0.27508	0	Atkins
